year,month,year_month,region,product_line,revenue,expenses,net_profit,profit_margin_pct,active_customers,revenue_per_customer
2020,1,2020-01,North,Retail Banking,4361610.0,2592418.0,1769192.0,40.56,9,484623.33
2020,1,2020-01,North,Corporate Banking,6567884.0,3924097.0,2643787.0,40.25,9,729764.89
2020,1,2020-01,North,Insurance,2966445.0,1653492.0,1312953.0,44.26,9,329605.0
2020,1,2020-01,North,Wealth Management,2249440.0,1266582.0,982858.0,43.69,9,249937.78
2020,1,2020-01,North,Digital Banking,1806033.0,1134217.0,671816.0,37.2,9,200670.33
2020,1,2020-01,North,Forex & Treasury,3357856.0,2044106.0,1313750.0,39.12,9,373095.11
2020,1,2020-01,South,Retail Banking,5683093.0,3232191.0,2450902.0,43.13,9,631454.78
2020,1,2020-01,South,Corporate Banking,7164383.0,3821663.0,3342720.0,46.66,9,796042.56
2020,1,2020-01,South,Insurance,3417466.0,1888331.0,1529135.0,44.74,9,379718.44
2020,1,2020-01,South,Wealth Management,2498001.0,1448163.0,1049838.0,42.03,9,277555.67
2020,1,2020-01,South,Digital Banking,1979509.0,1277028.0,702481.0,35.49,9,219945.44
2020,1,2020-01,South,Forex & Treasury,3935739.0,2313429.0,1622310.0,41.22,9,437304.33
2020,1,2020-01,East,Retail Banking,4139709.0,2451862.0,1687847.0,40.77,9,459967.67
2020,1,2020-01,East,Corporate Banking,4569283.0,2715727.0,1853556.0,40.57,9,507698.11
2020,1,2020-01,East,Insurance,2529615.0,1432470.0,1097145.0,43.37,9,281068.33
2020,1,2020-01,East,Wealth Management,1771009.0,921079.0,849930.0,47.99,9,196778.78
2020,1,2020-01,East,Digital Banking,1386538.0,827971.0,558567.0,40.29,9,154059.78
2020,1,2020-01,East,Forex & Treasury,2827821.0,1850294.0,977527.0,34.57,9,314202.33
2020,1,2020-01,West,Retail Banking,5596510.0,3224859.0,2371651.0,42.38,9,621834.44
2020,1,2020-01,West,Corporate Banking,8191005.0,5026209.0,3164796.0,38.64,9,910111.67
2020,1,2020-01,West,Insurance,3594288.0,1895187.0,1699101.0,47.27,9,399365.33
2020,1,2020-01,West,Wealth Management,2572611.0,1569532.0,1003079.0,38.99,9,285845.67
2020,1,2020-01,West,Digital Banking,1828848.0,1066673.0,762175.0,41.68,9,203205.33
2020,1,2020-01,West,Forex & Treasury,3843290.0,2084385.0,1758905.0,45.77,9,427032.22
2020,1,2020-01,Central,Retail Banking,4267953.0,2410170.0,1857783.0,43.53,14,304853.79
2020,1,2020-01,Central,Corporate Banking,5706915.0,3524997.0,2181918.0,38.23,14,407636.79
2020,1,2020-01,Central,Insurance,2907735.0,1660109.0,1247626.0,42.91,14,207695.36
2020,1,2020-01,Central,Wealth Management,1855628.0,1066655.0,788973.0,42.52,14,132544.86
