transaction_id,account_id,customer_id,bank_name,transaction_date,transaction_type,category,amount,account_balance,channel,status,reference_number
TXN000001,ACC010000022,CUST00023,Axis Bank,2024-06-29,UPI Payment,Entertainment,40724.49,781324.54,Mobile App,Success,REF-B3303798
TXN000002,ACC010000031,CUST00032,SBI,2023-04-19,IMPS,Healthcare,41213.05,660589.77,POS Terminal,Success,REF-E25E780B
TXN000003,ACC010000027,CUST00028,SBI,2023-06-30,Transfer,Fuel,69723.86,1145640.3,UPI,Success,REF-AA7EB894
TXN000004,ACC010000029,CUST00030,Axis Bank,2024-03-22,Transfer,Utilities,78453.5,146636.24,Mobile App,Success,REF-4AE83BA7
TXN000005,ACC010000028,CUST00029,Kotak Bank,2023-09-07,NEFT,Travel,71307.72,168271.87,ATM,Success,REF-3D1915C7
TXN000006,ACC010000031,CUST00032,SBI,2023-11-29,IMPS,EMI,17315.69,654587.04,ATM,Success,REF-4A032F87
TXN000007,ACC010000038,CUST00039,HDFC Bank,2024-12-19,UPI Payment,Utilities,83616.19,591027.2,Mobile App,Success,REF-4FA5AE84
TXN000008,ACC010000046,CUST00047,Kotak Bank,2024-02-21,NEFT,Healthcare,46440.47,776677.08,POS Terminal,Failed,REF-616C2C84
TXN000009,ACC010000031,CUST00032,SBI,2024-04-03,Debit,Travel,75338.98,649824.38,POS Terminal,Success,REF-40B479DD
TXN000010,ACC010000019,CUST00020,ICICI Bank,2024-11-10,UPI Payment,Entertainment,55268.7,844660.63,Branch,Failed,REF-E242B4F6
TXN000011,ACC010000035,CUST00036,ICICI Bank,2023-12-05,Transfer,EMI,33454.41,246448.6,Net Banking,Success,REF-DFBDD93A
TXN000012,ACC010000046,CUST00047,Kotak Bank,2023-07-17,IMPS,Food & Dining,30011.28,776065.73,Net Banking,Success,REF-9A3F05F2
TXN000013,ACC010000047,CUST00048,HDFC Bank,2024-05-10,IMPS,Investment,26303.64,321620.02,UPI,Success,REF-13D775AA
TXN000014,ACC010000006,CUST00007,ICICI Bank,2023-07-18,Transfer,Salary,28178.6,86124.26,POS Terminal,Pending,REF-32807EB0
TXN000015,ACC010000008,CUST00009,ICICI Bank,2023-10-08,Transfer,Food & Dining,4371.72,1180334.1,POS Terminal,Success,REF-0FB1E941
TXN000016,ACC010000006,CUST00007,ICICI Bank,2023-01-13,ATM Withdrawal,Entertainment,54557.4,90464.9,Net Banking,Success,REF-3D5C77EC
TXN000017,ACC010000016,CUST00017,SBI,2024-05-04,ATM Withdrawal,Shopping,10882.57,429198.61,UPI,Failed,REF-C2F412CD
TXN000018,ACC010000043,CUST00044,SBI,2023-02-24,Transfer,Shopping,14456.48,348078.55,Net Banking,Success,REF-FABF58AF
