alert_id,customer_id,account_id,region,bank_name,alert_date,alert_type,risk_level,transaction_amount,status,is_confirmed_fraud,resolution_time_hours,detection_source
ALRT00001,CUST00049,ACC010000048,Central,Axis Bank,2024-01-20,High Amount,Low,82187.4,Escalated,False,23,Customer Report
ALRT00002,CUST00046,ACC010000045,South,Kotak Bank,2024-08-04,Multiple Attempts,Medium,37608.28,False Positive,False,71,Customer Report
ALRT00003,CUST00003,ACC010000002,West,HDFC Bank,2023-11-06,Account Takeover,Critical,112076.57,False Positive,True,4,Rule Engine
ALRT00004,CUST00010,ACC010000009,West,HDFC Bank,2023-09-26,Account Takeover,Critical,25273.3,Escalated,False,23,Customer Report
ALRT00005,CUST00045,ACC010000044,South,Axis Bank,2024-10-22,Card Cloning,Low,24311.26,Escalated,False,9,Manual Review
ALRT00006,CUST00038,ACC010000037,Central,SBI,2024-05-07,Velocity Check,High,125785.21,False Positive,True,48,Rule Engine
ALRT00007,CUST00017,ACC010000016,Central,SBI,2023-06-16,Unusual Location,Medium,64276.38,Under Review,False,21,Rule Engine
ALRT00008,CUST00018,ACC010000017,North,SBI,2024-01-05,Velocity Check,High,10218.62,Escalated,True,66,ML Model
ALRT00009,CUST00050,ACC010000049,Central,Kotak Bank,2024-10-05,Multiple Attempts,Low,119953.12,Under Review,False,41,Manual Review
ALRT00010,CUST00018,ACC010000017,North,SBI,2024-12-02,Phishing,Low,107116.85,Escalated,True,2,ML Model
ALRT00011,CUST00034,ACC010000033,South,HDFC Bank,2023-10-16,Phishing,Critical,82692.9,Under Review,True,28,ML Model
ALRT00012,CUST00033,ACC010000032,West,HDFC Bank,2023-08-15,Card Cloning,Low,83760.58,Resolved,True,17,Rule Engine
ALRT00013,CUST00031,ACC010000030,North,Kotak Bank,2023-12-23,Account Takeover,High,28233.29,False Positive,False,23,Manual Review
ALRT00014,CUST00002,ACC010000001,Central,Axis Bank,2023-05-02,Card Cloning,Medium,171434.63,Under Review,True,40,ML Model
ALRT00015,CUST00014,ACC010000013,South,ICICI Bank,2023-05-14,High Amount,Critical,138318.22,Resolved,True,3,Customer Report
ALRT00016,CUST00049,ACC010000048,Central,Axis Bank,2024-03-17,Unusual Location,Medium,22009.57,Blocked,True,61,Rule Engine
ALRT00017,CUST00017,ACC010000016,Central,SBI,2023-02-14,High Amount,High,133683.49,Resolved,True,27,ML Model
ALRT00018,CUST00012,ACC010000011,North,HDFC Bank,2024-11-17,Phishing,Low,18610.47,Escalated,False,46,ML Model
ALRT00019,CUST00033,ACC010000032,West,HDFC Bank,2024-09-19,Card Cloning,Low,20271.58,Blocked,True,68,ML Model
ALRT00020,CUST00046,ACC010000045,South,Kotak Bank,2023-07-16,Account Takeover,Medium,180381.23,Blocked,True,13,ML Model
ALRT00021,CUST00033,ACC010000032,West,HDFC Bank,2024-12-25,Device Mismatch,High,139777.51,Under Review,False,14,ML Model
ALRT00022,CUST00023,ACC010000022,Central,Axis Bank,2024-01-24,Velocity Check,Medium,103093.08,False Positive,True,41,Rule Engine
ALRT00023,CUST00030,ACC010000029,East,Axis Bank,2023-04-23,Multiple Attempts,Critical,152573.6,Escalated,True,11,Manual Review
ALRT00024,CUST00032,ACC010000031,East,SBI,2023-04-29,Velocity Check,High,91660.68,Escalated,False,29,Customer Report
ALRT00025,CUST00019,ACC010000018,West,ICICI Bank,2024-03-14,Card Cloning,Low,179003.55,False Positive,False,23,Rule Engine
ALRT00026,CUST00044,ACC010000043,Central,SBI,2024-05-18,High Amount,Critical,87892.64,Resolved,True,19,Customer Report
ALRT00027,CUST00026,ACC010000025,North,HDFC Bank,2024-12-12,High Amount,Medium,13409.73,Under Review,False,26,Customer Report
ALRT00028,CUST00008,ACC010000007,South,SBI,2023-08-27,Velocity Check,Critical,56064.41,Blocked,False,52,Manual Review
ALRT00029,CUST00031,ACC010000030,North,Kotak Bank,2024-11-13,Velocity Check,Critical,102527.2,Under Review,False,14,Rule Engine
ALRT00030,CUST00017,ACC010000016,Central,SBI,2024-05-16,Device Mismatch,Medium,125860.02,Under Review,True,13,Rule Engine
ALRT00031,CUST00005,ACC010000004,West,SBI,2024-05-25,Unusual Location,Medium,76835.28,Escalated,True,39,Rule Engine
ALRT00032,CUST00049,ACC010000048,Central,Axis Bank,2023-03-20,Device Mismatch,Critical,40785.39,False Positive,False,65,Manual Review
ALRT00033,CUST00035,ACC010000034,West,SBI,2023-12-18,Unusual Location,Low,198146.96,Resolved,False,58,Manual Review
ALRT00034,CUST00025,ACC010000024,Central,SBI,2024-03-29,Device Mismatch,Low,7055.53,Blocked,False,22,Customer Report
ALRT00035,CUST00028,ACC010000027,Central,SBI,2023-05-18,Account Takeover,Critical,97747.26,Resolved,False,71,Customer Report
ALRT00036,CUST00031,ACC010000030,North,Kotak Bank,2024-07-29,Multiple Attempts,Low,78581.27,False Positive,False,46,Manual Review
ALRT00037,CUST00021,ACC010000020,Central,HDFC Bank,2023-03-04,Unusual Location,Low,26075.51,Escalated,False,4,Manual Review
ALRT00038,CUST00025,ACC010000024,Central,SBI,2023-04-10,Velocity Check,High,198393.13,False Positive,False,8,ML Model
ALRT00039,CUST00016,ACC010000015,West,Axis Bank,2023-08-29,Account Takeover,Low,182122.61,Resolved,False,15,Manual Review
ALRT00040,CUST00011,ACC010000010,North,Axis Bank,2023-01-21,Phishing,Low,92451.42,False Positive,False,35,Rule Engine
ALRT00041,CUST00045,ACC010000044,South,Axis Bank,2024-04-25,Unusual Location,High,75858.65,False Positive,False,13,Customer Report
ALRT00042,CUST00007,ACC010000006,South,ICICI Bank,2024-12-08,Card Cloning,High,99597.91,Escalated,True,39,Manual Review
ALRT00043,CUST00028,ACC010000027,Central,SBI,2023-07-26,Device Mismatch,Low,168155.91,Blocked,True,37,Manual Review
ALRT00044,CUST00004,ACC010000003,Central,ICICI Bank,2023-11-01,Velocity Check,Medium,125102.17,Resolved,True,44,Manual Review
ALRT00045,CUST00005,ACC010000004,West,SBI,2024-08-03,Device Mismatch,Critical,42342.96,Resolved,False,65,Manual Review
ALRT00046,CUST00028,ACC010000027,Central,SBI,2024-11-10,Phishing,Medium,83155.69,Escalated,False,71,ML Model
ALRT00047,CUST00002,ACC010000001,Central,Axis Bank,2024-10-04,Multiple Attempts,Critical,42984.08,False Positive,False,69,Customer Report
ALRT00048,CUST00037,ACC010000036,East,Kotak Bank,2024-10-03,Unusual Location,Medium,73172.8,Under Review,True,20,Manual Review
ALRT00049,CUST00028,ACC010000027,Central,SBI,2024-02-25,Phishing,Low,126968.53,False Positive,False,37,ML Model
ALRT00050,CUST00017,ACC010000016,Central,SBI,2024-12-04,Card Cloning,Critical,48077.44,Under Review,True,4,ML Model
ALRT00051,CUST00020,ACC010000019,West,ICICI Bank,2024-04-20,Device Mismatch,Critical,84692.82,Resolved,True,21,Manual Review
ALRT00052,CUST00009,ACC010000008,Central,ICICI Bank,2023-01-30,Account Takeover,High,131904.81,Under Review,True,63,Rule Engine
ALRT00053,CUST00004,ACC010000003,Central,ICICI Bank,2023-03-27,Phishing,High,173500.77,False Positive,False,12,Customer Report
ALRT00054,CUST00047,ACC010000046,East,Kotak Bank,2023-05-24,Card Cloning,Low,114409.19,Blocked,True,67,Manual Review
ALRT00055,CUST00032,ACC010000031,East,SBI,2023-04-03,Card Cloning,Low,154751.58,Escalated,False,50,ML Model
ALRT00056,CUST00028,ACC010000027,Central,SBI,2023-08-12,Multiple Attempts,Low,35443.27,Escalated,False,53,Manual Review
ALRT00057,CUST00038,ACC010000037,Central,SBI,2023-02-27,Device Mismatch,High,140073.74,Resolved,False,70,Customer Report
ALRT00058,CUST00031,ACC010000030,North,Kotak Bank,2024-11-30,Card Cloning,High,175946.99,Under Review,False,61,Manual Review
ALRT00059,CUST00020,ACC010000019,West,ICICI Bank,2023-01-22,Unusual Location,Low,138291.15,Under Review,False,71,Customer Report
ALRT00060,CUST00020,ACC010000019,West,ICICI Bank,2024-10-16,Phishing,Low,107214.68,Under Review,False,50,Rule Engine
ALRT00061,CUST00026,ACC010000025,North,HDFC Bank,2023-09-19,Account Takeover,Low,187296.32,Under Review,False,27,ML Model
ALRT00062,CUST00029,ACC010000028,East,Kotak Bank,2024-10-08,Phishing,Critical,157968.82,Escalated,True,63,Customer Report
ALRT00063,CUST00048,ACC010000047,South,HDFC Bank,2024-02-27,Phishing,Critical,175413.86,Resolved,True,34,Rule Engine
ALRT00064,CUST00023,ACC010000022,Central,Axis Bank,2024-03-06,Phishing,Critical,139194.41,Resolved,True,57,ML Model
ALRT00065,CUST00001,ACC010000000,East,ICICI Bank,2024-02-15,Card Cloning,High,63087.5,Resolved,True,21,ML Model
ALRT00066,CUST00034,ACC010000033,South,HDFC Bank,2024-12-31,Multiple Attempts,Critical,158632.14,Escalated,False,62,ML Model
ALRT00067,CUST00017,ACC010000016,Central,SBI,2023-06-27,Phishing,High,40133.41,False Positive,False,24,Customer Report
ALRT00068,CUST00025,ACC010000024,Central,SBI,2024-08-07,Card Cloning,Low,189647.79,Blocked,True,12,Customer Report
ALRT00069,CUST00013,ACC010000012,North,Axis Bank,2023-09-26,Multiple Attempts,Low,80506.46,False Positive,False,20,Rule Engine
ALRT00070,CUST00024,ACC010000023,East,SBI,2023-06-24,High Amount,Low,143857.39,False Positive,False,64,Rule Engine
ALRT00071,CUST00015,ACC010000014,South,ICICI Bank,2024-12-31,Card Cloning,Medium,189237.44,Escalated,False,64,Customer Report
ALRT00072,CUST00009,ACC010000008,Central,ICICI Bank,2024-03-17,Card Cloning,Medium,199043.89,Escalated,True,54,ML Model
ALRT00073,CUST00027,ACC010000026,North,SBI,2023-05-30,Unusual Location,High,195237.57,Under Review,False,32,Manual Review
ALRT00074,CUST00038,ACC010000037,Central,SBI,2024-12-01,Device Mismatch,Low,2558.89,Under Review,False,51,ML Model
ALRT00075,CUST00046,ACC010000045,South,Kotak Bank,2024-01-28,Velocity Check,High,15074.6,Blocked,True,7,Manual Review
ALRT00076,CUST00016,ACC010000015,West,Axis Bank,2024-04-27,Phishing,Low,1569.52,Blocked,False,39,Customer Report
ALRT00077,CUST00043,ACC010000042,Central,SBI,2024-01-15,Multiple Attempts,Low,116307.14,Escalated,True,65,Customer Report
ALRT00078,CUST00022,ACC010000021,West,ICICI Bank,2024-04-24,Multiple Attempts,Low,63804.82,Blocked,False,19,Manual Review
ALRT00079,CUST00008,ACC010000007,South,SBI,2023-11-17,Unusual Location,Medium,100092.52,Escalated,False,56,Manual Review
ALRT00080,CUST00017,ACC010000016,Central,SBI,2024-09-19,Account Takeover,High,87437.19,Under Review,False,63,ML Model
ALRT00081,CUST00036,ACC010000035,North,ICICI Bank,2024-11-04,Device Mismatch,Low,38189.53,Resolved,True,24,Rule Engine
ALRT00082,CUST00031,ACC010000030,North,Kotak Bank,2023-09-24,Multiple Attempts,Critical,87567.76,False Positive,True,57,Manual Review
ALRT00083,CUST00046,ACC010000045,South,Kotak Bank,2024-07-28,Device Mismatch,Critical,98851.22,Under Review,True,45,Rule Engine
ALRT00084,CUST00014,ACC010000013,South,ICICI Bank,2023-10-18,Multiple Attempts,Medium,150112.36,Escalated,True,1,ML Model
ALRT00085,CUST00027,ACC010000026,North,SBI,2023-03-20,Card Cloning,Critical,135543.25,Escalated,True,37,Rule Engine
ALRT00086,CUST00026,ACC010000025,North,HDFC Bank,2024-01-18,High Amount,High,31178.21,Resolved,False,62,Customer Report
